group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOVUPS,;0,;0x8bc0,;Iteration not constant;0;Success;16;16;0;16;0;1;
1;L;MOVUPS,;0,;0x8bc9,;Iteration not constant;0;Success;16;16;0;16;0;1;
2;SS;MOVUPS,MOVUPS,;-16,0,;0x8bc5,0x8bce,;Success;32;Success;32;32;0;32;32;2;
