loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
71;ft.C.x;fftz2;19;ft.f90:1184-1188;Innermost;16.906589508057;2.096419095993;1.9800001382828;2.0918750762939;2.3450000286102;0.73769903182983;0.091776467859745;16.906589508057;2.096419095993;1.9800001382828;2.0918750762939;2.3450000286102;0.73769903182983;0.091776467859745;16;;;;;;;;;;
4;ft.C.x;ft;6;ft.f90:207-208;Innermost;16.623718261719;2.0613429546356;1.8149999380112;2.0568749904633;2.1300001144409;0.62983709573746;0.078376762568951;16.623718261719;2.0613429546356;1.8149999380112;2.0568749904633;2.1300001144409;0.62983709573746;0.078376762568951;16;;;;;;;;;;
82;ft.C.x;transpose_x_yz;21;ft.f90:1396-1396;Innermost;11.91846370697;1.4778909683228;1.4500000476837;1.4746875762939;1.4950001239777;0.10695488005877;0.013224797323346;11.91846370697;1.4778909683228;1.4500000476837;1.4746875762939;1.4950001239777;0.10695488005877;0.013224797323346;16;;;;;;;;;;
91;ft.C.x;transpose2_local;23;ft.f90:1326-1327;Innermost;7.8042073249817;0.96772265434265;0.88999998569489;0.96562504768372;1.0750000476837;0.35083276033401;0.044229529798031;7.8042073249817;0.96772265434265;0.88999998569489;0.96562504768372;1.0750000476837;0.35083276033401;0.044229529798031;16;;;;;;;;;;
95;ft.C.x;transpose2_local;23;ft.f90:1332-1334;Innermost;5.273521900177;0.65391737222672;0.56499999761581;0.6525000333786;0.7600000500679;0.40181529521942;0.049598395824432;5.273521900177;0.65391737222672;0.56499999761581;0.6525000333786;0.7600000500679;0.40181529521942;0.049598395824432;16;;;;;;;;;;
41;ft.C.x;cffts1;14;ft.f90:916-917;Innermost;5.2684712409973;0.65329104661942;0.52500003576279;0.65187501907349;0.80000001192093;0.57517886161804;0.071060411632061;5.2684712409973;0.65329104661942;0.52500003576279;0.65187501907349;0.80000001192093;0.57517886161804;0.071060411632061;16;;;;;;;;;;
72;ft.C.x;fftz2;19;ft.f90:1182-1182,ft.f90:1187-1189;InBetween;20.260631561279;2.5123207569122;2.3849999904633;2.506875038147;2.7200002670288;0.6772181391716;0.084594704210758;3.3540410995483;0.41590151190758;0.33500000834465;0.41500002145767;0.48000001907349;0.30868902802467;0.038209948688745;16;;;;;;;;;;
51;ft.C.x;cffts2;15;ft.f90:963-963;Innermost;2.3690440654755;0.29376173019409;0.20999999344349;0.29312500357628;0.35999998450279;0.31735974550247;0.039364747703075;2.3690440654755;0.29376173019409;0.20999999344349;0.29312500357628;0.35999998450279;0.31735974550247;0.039364747703075;16;;;;;;;;;;
38;ft.C.x;cffts1;14;ft.f90:928-929;Innermost;2.159416437149;0.26776790618896;0.20499999821186;0.26718750596046;0.35499998927116;0.35519260168076;0.043968498706818;2.159416437149;0.26776790618896;0.20499999821186;0.26718750596046;0.35499998927116;0.35519260168076;0.043968498706818;16;;;;;;;;;;
75;ft.C.x;fftz2;19;ft.f90:1184-1188;Innermost;1.9598914384842;0.24302677810192;0.20499999821186;0.24250000715256;0.28499999642372;0.19597388803959;0.024152295663953;1.9598914384842;0.24302677810192;0.20499999821186;0.24250000715256;0.28499999642372;0.19597388803959;0.024152295663953;16;;;;;;;;;;
86;ft.C.x;transpose_xy_z;22;ft.f90:1396-1396;Innermost;1.3789957761765;0.17099563777447;0.16500000655651;0.17062500119209;0.17499999701977;0.024709029123187;0.0030956934206188;1.3789957761765;0.17099563777447;0.16500000655651;0.17062500119209;0.17499999701977;0.024709029123187;0.0030956934206188;16;;;;;;;;;;
