block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
950;ft.C.x;ft.f90:1184-1188;16.906589508057;2.096419095993;1.9800001382828;2.0918750762939;2.3450000286102;0.73769903182983;0.091776467859745;16;;;;;;;;;;
178;ft.C.x;ft.f90:207-208;16.623718261719;2.0613429546356;1.8149999380112;2.0568749904633;2.1300001144409;0.62983709573746;0.078376762568951;16;;;;;;;;;;
985;ft.C.x;ft.f90:1396-1396;11.91846370697;1.4778909683228;1.4500000476837;1.4746875762939;1.4950001239777;0.10695488005877;0.013224797323346;16;;;;;;;;;;
1046;ft.C.x;ft.f90:1326-1327;7.8042073249817;0.96772265434265;0.88999998569489;0.96562504768372;1.0750000476837;0.35083276033401;0.044229529798031;16;;;;;;;;;;
1053;ft.C.x;ft.f90:1332-1334;5.2684712409973;0.65329104661942;0.56499999761581;0.65187501907349;0.7600000500679;0.39953261613846;0.049324613064528;16;;;;;;;;;;
646;ft.C.x;ft.f90:916-917;5.2684712409973;0.65329104661942;0.52500003576279;0.65187501907349;0.80000001192093;0.57517886161804;0.071060411632061;16;;;;;;;;;;
708;ft.C.x;ft.f90:963-963;2.3690440654755;0.29376173019409;0.20999999344349;0.29312500357628;0.35999998450279;0.31735974550247;0.039364747703075;16;;;;;;;;;;
676;ft.C.x;ft.f90:928-929;2.159416437149;0.26776790618896;0.20499999821186;0.26718750596046;0.35499998927116;0.35519260168076;0.043968498706818;16;;;;;;;;;;
920;ft.C.x;ft.f90:1184-1188;1.9598914384842;0.24302677810192;0.20499999821186;0.24250000715256;0.28499999642372;0.19597388803959;0.024152295663953;16;;;;;;;;;;
936;ft.C.x;ft.f90:1188-1188;1.6896487474442;0.20951665937901;0.17000000178814;0.20906250178814;0.25500002503395;0.18748158216476;0.023181799799204;16;;;;;;;;;;
1021;ft.C.x;ft.f90:1396-1396;1.3789957761765;0.17099563777447;0.16500000655651;0.17062500119209;0.17499999701977;0.024709029123187;0.0030956934206188;16;;;;;;;;;;
878;ft.C.x;ft.f90:1130-1130;1.1617913246155;0.14406226575375;0.08500000089407;0.14374999701977;0.1950000077486;0.27565765380859;0.034083232283592;16;;;;;;;;;;
737;ft.C.x;ft.f90:975-975;0.98247134685516;0.12182656675577;0.079999998211861;0.12156250327826;0.18000000715256;0.24811871349812;0.030752710998058;16;;;;;;;;;;
926;ft.C.x;ft.f90:1182-1182;0.84356153011322;0.10460173338652;0.059999998658895;0.10437499731779;0.13500000536442;0.21236236393452;0.02619637362659;16;;;;;;;;;;
1644;ft.C.x;randi8.f90:60-62;0.5758444070816;0.07140477001667;0.060000002384186;0.07124999910593;0.079999998211861;0.042799670249224;0.0053229066543281;16;;;;;;;;;;
948;ft.C.x;ft.f90:1189-1189;0.31570416688919;0.039147354662418;0.019999999552965;0.0390625;0.060000002384186;0.09908989071846;0.012277181260288;16;;;;;;;;;;
934;ft.C.x;ft.f90:1188-1188;0.26771712303162;0.033196955919266;0.019999999552965;0.033124998211861;0.054999999701977;0.094354473054409;0.011672617867589;16;;;;;;;;;;
937;ft.C.x;ft.f90:1188-1188;0.25256332755089;0.031317882239819;0.0099999997764826;0.03125;0.060000002384186;0.10896366089582;0.013478377833962;16;;;;;;;;;;
932;ft.C.x;ft.f90:1188-1188;0.22730699181557;0.028186094015837;0.0099999997764826;0.028125001117587;0.054999999701977;0.11225021630526;0.013889444991946;16;;;;;;;;;;
928;ft.C.x;ft.f90:1188-1188;0.21720446646214;0.026933381333947;0.0049999998882413;0.026875000447035;0.049999997019768;0.10417088121176;0.012893796898425;16;;;;;;;;;;
930;ft.C.x;ft.f90:1188-1188;0.2071019411087;0.025680666789412;0.014999999664724;0.025624999776483;0.044999998062849;0.073755219578743;0.0091058583930135;16;;;;;;;;;;
905;ft.C.x;ft.f90:1188-1188;0.16416616737843;0.020356623455882;0.0050000003539026;0.020312499254942;0.035000000149012;0.065008163452148;0.0080557949841022;16;;;;;;;;;;
925;ft.C.x;ft.f90:1168-1168,ft.f90:1190-1190;0.15911489725113;0.019730266183615;0.0099999997764826;0.02250000089407;0.050000000745058;0.082114659249783;0.010143205523491;14;;;;;;;;;;
929;ft.C.x;ft.f90:1188-1188;0.10860223323107;0.013466690666974;0.0049999998882413;0.01653846167028;0.030000001192093;0.060273300856352;0.0074678803794086;13;;;;;;;;;;
872;ft.C.x;ft.f90:1132-1132;0.068192102015018;0.0084558287635446;0.0049999998882413;0.0084375003352761;0.02000000141561;0.048253800719976;0.0059773880057037;16;;;;;;;;;;
896;ft.C.x;ft.f90:1182-1182;0.06566645950079;0.0081426491960883;0.0049999998882413;0.0092857144773006;0.02000000141561;0.038482129573822;0.0047463118098676;14;;;;;;;;;;
875;ft.C.x;ft.f90:1131-1131;0.050512664020061;0.006263576913625;0.0049999998882413;0.0083333337679505;0.015000000596046;0.026284901425242;0.0032566948793828;12;;;;;;;;;;
172;ft.C.x;ft.f90:209-209;0.042935766279697;0.0053240400739014;0.0049999998882413;0.008500000461936;0.015000000596046;0.038271579891443;0.0047434163279831;10;;;;;;;;;;
877;ft.C.x;ft.f90:1131-1131;0.042935766279697;0.0053240400739014;0.0049999998882413;0.0077272728085518;0.014999999664724;0.027722017839551;0.0034377581905574;11;;;;;;;;;;
