group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;MOVUPS,MOVUPS,;-16,0,;0xb970,0xb97b,;Success;32;Success;32;32;0;32;32;2;
2;SS;MOVAPS,MOVAPS,;0,544,;0xb976,0xb980,;Success;1088;Success;32;32;0;560;0;2;
