group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOVUPD,;0,;0x5837,;Success;16;Success;16;16;0;16;16;1;
4;LLSS;MOVUPD,MOVUPD,MOVUPD,MOVUPD,;0,16,0,16,;0x5820,0x5825,0x5865,0x586a,;Success;32;Success;64;32;32;32;32;2;
2;SS;MOVUPD,MOVUPD,;16,0,;0x5870,0x5876,;Success;32;Success;32;32;0;32;32;2;
