block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
914;ft.C.x;ft.f90:1184-1188;18.979198455811;2.3505754470825;2.1449997425079;2.3449997901917;2.4649999141693;0.72409301996231;0.091305382549763;16;;;;;;;;;;
178;ft.C.x;ft.f90:207-208;16.5865650177;2.0542476177216;1.9899998903275;2.0493750572205;2.1100001335144;0.30258458852768;0.038073405623436;16;;;;;;;;;;
1013;ft.C.x;ft.f90:1396-1396;13.361821174622;1.6548627614975;1.629999756813;1.6509375572205;1.664999961853;0.089422218501568;0.011138343252242;16;;;;;;;;;;
953;ft.C.x;ft.f90:1326-1327;7.886079788208;0.97669172286987;0.86500000953674;0.97437500953674;1.0550000667572;0.45256415009499;0.055942684412003;16;;;;;;;;;;
642;ft.C.x;ft.f90:916-917;5.3669853210449;0.66470170021057;0.59500002861023;0.66312497854233;0.73499995470047;0.37068608403206;0.045456018298864;16;;;;;;;;;;
962;ft.C.x;ft.f90:1332-1332;5.2177619934082;0.64622032642365;0.50999999046326;0.64468747377396;0.72000002861023;0.44960364699364;0.055631794035435;16;;;;;;;;;;
704;ft.C.x;ft.f90:963-963;2.5115065574646;0.3110503256321;0.25499999523163;0.31031250953674;0.37500002980232;0.2814464867115;0.034663569182158;16;;;;;;;;;;
672;ft.C.x;ft.f90:928-929;1.9070250988007;0.23618523776531;0.1799999922514;0.23562499880791;0.2950000166893;0.30008256435394;0.037052892148495;16;;;;;;;;;;
901;ft.C.x;ft.f90:1188-1188;1.866557598114;0.23117335140705;0.15500000119209;0.23062500357628;0.30500000715256;0.3582249879837;0.044078528881073;16;;;;;;;;;;
874;ft.C.x;ft.f90:1130-1130;1.2620762586594;0.15630827844143;0.10500000417233;0.15593749284744;0.20000000298023;0.21116152405739;0.026026826351881;16;;;;;;;;;;
733;ft.C.x;ft.f90:975-975;0.93580806255341;0.11589992791414;0.070000000298023;0.11562500149012;0.17500001192093;0.22073985636234;0.02719528414309;16;;;;;;;;;;
892;ft.C.x;ft.f90:1182-1182,ft.f90:1188-1188;0.68288695812225;0.084575615823269;0.035000000149012;0.084375001490116;0.11999998986721;0.20136606693268;0.024891430512071;16;;;;;;;;;;
1441;ft.C.x;randi8.f90:60-62;0.5741308927536;0.071106165647507;0.059999998658895;0.070937499403954;0.084999993443489;0.062609754502773;0.0077928914688528;16;;;;;;;;;;
912;ft.C.x;ft.f90:1189-1189;0.37938162684441;0.046986453235149;0.025000000372529;0.046875;0.065000005066395;0.091989681124687;0.01138346735388;16;;;;;;;;;;
896;ft.C.x;ft.f90:1188-1188;0.36420634388924;0.045106988400221;0.025000000372529;0.044999998062849;0.090000003576279;0.13621488213539;0.016832508146763;16;;;;;;;;;;
902;ft.C.x;ft.f90:1188-1188;0.268096357584;0.033203762024641;0.014999999664724;0.033124998211861;0.054999999701977;0.090971022844315;0.011236102320254;16;;;;;;;;;;
898;ft.C.x;ft.f90:1188-1188;0.24280424416065;0.030071329325438;0.0099999997764826;0.029999999329448;0.050000004470348;0.095835499465466;0.011832159943879;16;;;;;;;;;;
900;ft.C.x;ft.f90:1188-1188;0.18463240563869;0.022866740822792;0.0099999997764826;0.022812500596046;0.045000001788139;0.087345115840435;0.010796410962939;16;;;;;;;;;;
888;ft.C.x;ft.f90:1168-1168,ft.f90:1190-1190;0.16945713758469;0.020987283438444;0.0049999998882413;0.020937500521541;0.045000001788139;0.079918503761292;0.0098689328879118;16;;;;;;;;;;
899;ft.C.x;ft.f90:1188-1188;0.14922344684601;0.018481338396668;0.0049999998882413;0.018437499180436;0.040000002831221;0.073501527309418;0.0090772155672312;16;;;;;;;;;;
895;ft.C.x;ft.f90:1188-1188;0.096110016107559;0.011903234757483;0.0049999998882413;0.013571428135037;0.029999999329448;0.062360841780901;0.007703288923949;14;;;;;;;;;;
886;ft.C.x;ft.f90:1173-1173,ft.f90:1190-1190;0.083463959395885;0.010337019339204;0.0049999998882413;0.01178571395576;0.019999999552965;0.037545476108789;0.0046439133584499;14;;;;;;;;;;
871;ft.C.x;ft.f90:1131-1131;0.073347114026546;0.009084046818316;0.0049999998882413;0.0090624997392297;0.019999999552965;0.033803008496761;0.0041708308272064;16;;;;;;;;;;
868;ft.C.x;ft.f90:1132-1132;0.065759479999542;0.008144318126142;0.0049999998882413;0.01083333324641;0.019999999552965;0.033722791820765;0.0041742357425392;12;;;;;;;;;;
890;ft.C.x;ft.f90:1173-1173;0.055642642080784;0.0068913465365767;0.0049999998882413;0.0084615387022495;0.025000000372529;0.044900067150593;0.0055470019578934;13;;;;;;;;;;
179;ft.C.x;ft.f90:208-209;0.050584219396114;0.0062648607417941;0.0049999998882413;0.008333332836628;0.015000000596046;0.031448140740395;0.0038924948312342;12;;;;;;;;;;
495;ft.C.x;ft.f90:703-705;0.045525792986155;0.0056383735500276;0.0049999998882413;0.0074999998323619;0.015000000596046;0.032220996916294;0.0039886203594506;12;;;;;;;;;;
872;ft.C.x;ft.f90:1131-1131;0.040467374026775;0.0050118882209063;0.0049999998882413;0.0080000003799796;0.015000000596046;0.034193377941847;0.0042163701727986;10;;;;;;;;;;
497;ft.C.x;ft.f90:704-705;0.040467374026775;0.0050118882209063;0.0049999998882413;0.0066666663624346;0.014999998733401;0.026338851079345;0.0032566946465522;12;;;;;;;;;;
891;ft.C.x;ft.f90:1182-1183;0.037938166409731;0.0046986457891762;0.0049999998882413;0.006818181835115;0.014999999664724;0.02742332033813;0.0033709991257638;11;;;;;;;;;;
894;ft.C.x;ft.f90:1188-1188;0.032879739999771;0.004072159063071;0.0049999998882413;0.0081249997019768;0.015000000596046;0.030057245865464;0.0037201191298664;8;;;;;;;;;;
870;ft.C.x;ft.f90:1131-1131;0.030350530520082;0.0037589161656797;0.0049999998882413;0.0066666668280959;0.015000000596046;0.028577709570527;0.0035355340223759;9;;;;;;;;;;
893;ft.C.x;ft.f90:1188-1188;0.027821321040392;0.0034456732682884;0.0049999998882413;0.0061111110262573;0.014999999664724;0.026953730732203;0.003333333414048;9;;;;;;;;;;
166;ft.C.x;ft.f90:210-210;0.027821321040392;0.0034456732682884;0.0049999998882413;0.0049999998882413;0.0050000003539026;7.7852877439e-05;1.4725502761603e-10;11;;;;;;;;;;
727;ft.C.x;ft.f90:977-977;0.027821321040392;0.0034456732682884;0.0049999998882413;0.0078571429476142;0.015000000596046;0.031808517873287;0.0039339791983366;7;;;;;;;;;;
884;ft.C.x;ft.f90:1193-1193;0.025292109698057;0.0031324303708971;0.0049999998882413;0.007142857182771;0.014999999664724;0.031846147030592;0.0039339787326753;7;;;;;;;;;;
862;ft.C.x;ft.f90:1120-1121;0.025292109698057;0.0031324303708971;0.0049999998882413;0.007142857182771;0.0099999997764826;0.021603489294648;0.0026726124342531;7;;;;;;;;;;
698;ft.C.x;ft.f90:965-965;0.020233687013388;0.0025059441104531;0.0049999998882413;0.0057142856530845;0.0099999997764826;0.015298240818083;0.0018898223061115;7;;;;;;;;;;
