loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
71;ft.C.x;fftz2;19;ft.f90:1184-1188;Innermost;18.350841522217;2.2699999809265;;;;;;18.350841522217;2.2699999809265;;;;;;;;;;;;;;;;
4;ft.C.x;ft;6;ft.f90:207-208;Innermost;16.410665512085;2.0299999713898;;;;;;16.410665512085;2.0299999713898;;;;;;;;;;;;;;;;
89;ft.C.x;transpose2_finish;25;ft.f90:1396-1396;Innermost;13.338719367981;1.6500002145767;;;;;;13.338719367981;1.6500002145767;;;;;;;;;;;;;;;;
79;ft.C.x;transpose2_local;23;ft.f90:1326-1327;Innermost;8.4882745742798;1.0499999523163;;;;;;8.4882745742798;1.0499999523163;;;;;;;;;;;;;;;;
41;ft.C.x;cffts1;14;ft.f90:916-917;Innermost;5.4163274765015;0.66999995708466;;;;;;5.4163274765015;0.66999995708466;;;;;;;;;;;;;;;;
85;ft.C.x;transpose2_local;23;ft.f90:1332-1332;Innermost;4.1228761672974;0.50999993085861;;;;;;4.1228761672974;0.50999993085861;;;;;;;;;;;;;;;;
72;ft.C.x;fftz2;19;ft.f90:1187-1189;InBetween;21.705730438232;2.6849999427795;;;;;;3.3548896312714;0.41499999165535;;;;;;;;;;;;;;;;
51;ft.C.x;cffts2;15;ft.f90:963-963;Innermost;2.7081637382507;0.33499997854233;;;;;;2.7081637382507;0.33499997854233;;;;;;;;;;;;;;;;
38;ft.C.x;cffts1;14;ft.f90:928-929;Innermost;2.3039603233337;0.28499999642372;;;;;;2.3039603233337;0.28499999642372;;;;;;;;;;;;;;;;
68;ft.C.x;cfftz;18;ft.f90:1130-1130;Innermost;1.4955531358719;0.18500000238419;;;;;;1.4955531358719;0.18500000238419;;;;;;;;;;;;;;;;
70;ft.C.x;fftz2;19;ft.f90:1168-1168,ft.f90:1173-1173,ft.f90:1182-1183,ft.f90:1188-1190;Outermost;22.999181747437;2.8450000286102;;;;;;1.2934514284134;0.15999999642372;;;;;;;;;;;;;;;;
120;ft.C.x;vranlc;45;randi8.f90:60-62;Single;0.6467257142067;0.079999998211861;;;;;;0.6467257142067;0.079999998211861;;;;;;;;;;;;;;;;
48;ft.C.x;cffts2;15;ft.f90:975-975;Innermost;0.56588500738144;0.070000000298023;;;;;;0.56588500738144;0.070000000298023;;;;;;;;;;;;;;;;
84;ft.C.x;transpose2_local;23;ft.f90:1332-1334;InBetween;4.2845578193665;0.52999997138977;;;;;;0.16168142855167;0.019999999552965;;;;;;;;;;;;;;;;
29;ft.C.x;compute_indexmap;11;ft.f90:703-705;Innermost;0.16168142855167;0.019999999552965;;;;;;0.16168142855167;0.019999999552965;;;;;;;;;;;;;;;;
66;ft.C.x;cfftz;18;ft.f90:1130-1132;Outermost;1.6572346687317;0.20500001311302;;;;;;0.16168142855167;0.019999999552965;;;;;;;;;;;;;;;;
3;ft.C.x;ft;6;ft.f90:208-210;InBetween;16.531927108765;2.0450000762939;;;;;;0.12126106768847;0.014999998733401;;;;;;;;;;;;;;;;
46;ft.C.x;cffts2;15;ft.f90:975-977;InBetween;0.68714600801468;0.084999993443489;;;;;;0.12126106768847;0.014999998733401;;;;;;;;;;;;;;;;
49;ft.C.x;cffts2;15;ft.f90:963-965;InBetween;2.7890045642853;0.34499999880791;;;;;;0.080840714275837;0.0099999997764826;;;;;;;;;;;;;;;;
69;ft.C.x;cfftz;18;ft.f90:1118-1121;Single;0.080840714275837;0.0099999997764826;;;;;;0.080840714275837;0.0099999997764826;;;;;;;;;;;;;;;;
83;ft.C.x;transpose2_local;23;ft.f90:1328-1328,ft.f90:1336-1337;InBetween;12.813252449036;1.5849999189377;;;;;;0.040420357137918;0.0049999998882413;;;;;;;;;;;;;;;;
87;ft.C.x;transpose2_finish;25;ft.f90:1396-1398;InBetween;13.379138946533;1.6550000905991;;;;;;0.040420357137918;0.0049999998882413;;;;;;;;;;;;;;;;
36;ft.C.x;cffts1;14;ft.f90:913-914,ft.f90:917-926,ft.f90:929-932;InBetween;7.7607083320618;0.95999991893768;;;;;;0.040420357137918;0.0049999998882413;;;;;;;;;;;;;;;;
